Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
"Luis Felipe Edwards ‘Macerao’ Orange Wine 2021, Itata","Orange wines are white wines made like red ones – with grape skins to give colour, flavour and tannin. This food-friendly style has become very popular, and certified sustainable winery Luis Felipe Edwards is producing one of Chile’s great-value, must-try examples. To make it, Moscatel de Alexandria grapes are hand-harvested and vinified on their skins to create a textured, rich orange-hued wine. It has complex aromas of tea, quince, flowers and lychee and a slight sweetness that contrasts well with fresh acidity. Pair it with cheeses, fish cakes or creamy Indian dishes, such as red-lentil dahl.",£9.99 per bottle,75CL,Muscat,,Screwcap,Chile,9.4,"Floral, Lychee, Quince",per bottle,Orange,ABV 12.50%,Chile,Aromatic & Floral,2021,Itata Valley
"Luis Felipe Edwards 'Late Harvest' Viognier/Sauvignon Blanc 2018/19 Half Bottle, Colchagua Valley","Luis Felipe Edwards is one of Chile's most awarded producers. They make this great-value dessert wine from grapes picked at the very end of the ripening season. It's complex and sweet with notes of peach, citrus, honey and oak. Pair this with blue cheese of custard.",£6.99 per bottle,37.5CL,Viognier,Sauvignon Blanc,Natural Cork,Chile,4.7,"Stone Fruit, Citrus Fruit, Honey",per bottle,White,ABV 12.50%,Central Valley,Aromatic & Floral,2019,Colchagua Valley
Lulu l'Alouette Organic Saumur-Champigny 2020/21,"This wine is proof that there are red-wine treasures to be found in the Loire. Cabernet Franc is the star grape of Chinon, one of the few red-dominated regions in the valley. This fragrant and light wine is very approachable in its youth. It has hints of raspberry and redcurrant and pairs well with grilled pork.",£13.99 per bottle,75CL,Cabernet Franc,,Natural Cork,France,10.1,"Strawberry, Earth, Green Bell Pepper, Raspberry",per bottle,Red,ABV 13.50%,Loire,Light & Elegant,2021,Saumur
"M. Chapoutier Domaine des Granges de Mirabel Organic Viognier 2019/20, Coteaux de l'Ardèche","This is an elegant, biodynamic Viognier made by iconic Rhône producer Chapoutier. At the foothills of the Coirons, in Mirabel, in the Ardèche, the volcanic soil is ideal for Viognier, and this expression is wonderfully balanced. Enjoy notes of pear and apricot, a ripe texture and crisp acidity.",£16.99 per bottle,75CL,Viognier,,Natural Cork,France,10.1,"Stone Fruit, Apricot, Floral, Peach",per bottle,White,ABV 13.50%,Other France,Ripe & Rounded,2020,Ardèche
M.Chapoutier 'Les Moniers' Crozes-Hermitage Blanc 2019,"M. Chapoutier dates back to 1808 and is one of the oldest, most respected producers in the Rhône Valley. This classic white Marsanne is a fine testament to their winemaking legacy. It’s a great alternative for fans of luscious whites, like Viognier or white Rioja. It has aromas of white peach and apple and clean minerality. Superb with sea bass.",£19.99 per bottle,75CL,Marsanne,,Natural Cork,France,10.1,"Citrus Fruit, Floral, Green Apple, Peach",per bottle,White,ABV 13.50%,Rhône,Ripe & Rounded,2019,Crozes-Hermitage
Maison Loron Beaujolais 2020/21,Maison Loron have been making wine since 1711 and always produce wine of character.  The Beaujolais is stuffed with elegant red fruit flavours of raspberry and strawberry and possesses a fine refreshing acidity.,£11.99 per bottle,75CL,Gamay,,Natural Cork,France,10.5,"Strawberry, Raspberry, Sour Cherry",per bottle,Red,ABV 14.00%,Beaujolais,Light & Elegant,2021,Beaujolais Villages
"Majestic Crisp & Zesty 2021/22, South Africa","Each bottle in our Selected by Majestic range has been chosen by our award-winning team of buyers for its unmistakable value and instantly enjoyable taste. Expect bright tropical fruit flavours, hints of white flower and a vibrant citrus acidity on the finish. Serve with white fish or seasonal salads.",£5.99 per bottle,75CL,Chenin Blanc,"Muscat, Sauvignon Blanc",Screwcap,South Africa,9.4,"Citrus Fruit, Grass, Green Apple",per bottle,White,ABV 12.50%,Western Cape,Crisp & Zesty,2022,
"Majestic Fresh & Juicy 2020/21, South Africa",Each bottle in our Selected by Majestic range has been chosen by our award-winning team of buyers for its unmistakable value and instantly enjoyable taste. Expect ripe notes of plum with uplifting hints of spice. Serve with stonebaked pizza.,£5.99 per bottle,75CL,Pinotage,"Cabernet Sauvignon, Shiraz",Screwcap,South Africa,9.8,"Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 13.00%,Western Cape,Smooth & Mellow,2021,
Majestic Loves Rose 2019,Our mission was to find the best tasting wines at £5.99.  So we blind tasted 500 wines and chose the best irrespective of grape variety or country. Crisp and thirst quenching with exuberant red berry flavours that are best enjoyed ice cold.,£6.99 per bottle,75CL,Pinot Grigio,,Screwcap,Italy,9,"Strawberry, Raspberry, Red Fruit",per bottle,Rosé,ABV 12.00%,Sicily,Delicate & Dry,2018,
"Majestic Ripe & Bold 2020/21, South Africa",Each bottle in our Selected by Majestic range has been chosen by our award-winning team of buyers for its unmistakable value and instantly enjoyable taste. Expect rich notes of blackberry and blackcurrant with hints of spice. Serve with barbecued beef ribs.,£5.99 per bottle,75CL,Pinotage,Shiraz,Screwcap,South Africa,9.8,"Black Cherry, Black Plum, Blackcurrant",per bottle,Red,ABV 13.00%,Western Cape,Rich & Juicy,2021,
"Majestic Vibrant & Fresh 2020/22, South Africa",Each bottle in our Selected by Majestic range has been chosen by our award-winning team of buyers for its unmistakable value and instantly enjoyable taste. Expect flavours of apple and pear and a gentle acidity. It’s versatile and easy-drinking. Serve as an apéritif. Not available in Scottish stores.,£5.99 per bottle,75CL,Chenin Blanc,"Muscat, Sauvignon Blanc",Screwcap,South Africa,9.4,"Green Apple, Lemon, Pear",per bottle,White,ABV 12.50%,Western Cape,Smooth & Light,2022,
"MAN Family Wines 'Outentiek' Syrah 2020, South Africa","MAN Family Wines was founded by three friends who often stayed up too late talking about how to make a living from winemaking. Their approach is to keep things honest and straightforward. That's why this wine is named Outentiek, which is Afrikaans for 'authentic'. They deliberately avoided too much oak and the fruit-forward style of Shiraz you may expect from South Africa. It's a medium-bodied, peppery Syrah with bright red-fruit notes and polished tannins. Try it with crispy pork belly.",£9.99 per bottle,75CL,Syrah,,Screwcap,South Africa,10.1,"Black Pepper, Blackberry, Liquorice, Smoke",per bottle,Red,ABV 13.50%,Coastal,Bold & Spicy,2020,
"Marisco Pride & Glory Sauvignon Blanc 2018/20, Marlborough","Brent Marris and the team at Marisco have created a series of exceptional wines from plots that have proven themselves over time to produce outstanding grapes. Aromas of passion fruit, guava and citrus are followed by a lingering floral note.  The flavours are citrus and tropical fruits underpinned by a soft acidity and a clean, refreshing finish. A perfect match for all seafood but especially anything with a herby butter sauce.",£29.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,10.1,"Cream, Lemon, Lime, Smoke",per bottle,White,ABV 13.50%,Marlborough,Fresh & Elegant ,2020,
"Marquês de Borba ‘Vinhas Velhas’ 2020, Alentejo","Marquês de Borba is leading the way in sustainable wine farming in Portugal’s Alentejo. Here, João Maria Ramos, the son of João Portugal, one of the country's most-famous winemakers, is a champion of lesser-known indigenous varieties and artisan techniques. He produces great wines from old vines (vinhas velhas) in Estremoz. Here a blend of red grapes is foot-trodden in traditional lagares tanks then aged in oak barrels. The result? A full-bodied and velvety wine that packs intense sunshine flavours into every sip. Think black fruit, eucalyptus and spice. Pair it with roasted meats such as lamb, venison or duck, or richly flavoured vegetarian casseroles. James Suckling gave the 2019 vintage 92 points.",£14.99 per bottle,75CL,Alicante Bouschet,"Aragonez, Castelão, Syrah",Natural Cork,Portugal,10.9,"Black Plum, Blackberry, Spice, Vanilla",per bottle,Red,ABV 14.50%,Alentejo,Bold & Spicy,2020,
Marqués de Riscal Rioja Gran Reserva 2016/17,"Marqués de Riscal were the first bodega to apply Bordeaux methods in Rioja. And this changed Spanish winemaking forever. Today, they make this Rioja from 80-year-old vines and age it for 32 months in oak and three years in the bottle. The result is intense and indulgent, with flavours of black fruit and toasted oak, smooth tannins and a long finish. Serve this at room temperature with a roast dinner or cellar until 2030.",£47.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,11.3,"Vanilla, Black Fruit, Red Fruit, Spice",per bottle,Red,ABV 15.00%,Rioja And Navarra,Savoury & Full Bodied,2016,Rioja
Marqués de Riscal Rioja Reserva 2017/18 Half Bottle,"Marqués de Riscal made Rioja what it is today. Up until the 1850s the locals had made only light, young wines. Then, in 1858, Riscal introduced the ‘Bordeaux method’, barrel ageing. From that moment on, the practice became integral to Rioja. Today, Riscal Reserva is one of the most famous wines in Spain. Each grape is selected from vines that are at least 50 years old. Mature vines make the tastiest grapes. So the wine is incredibly rich and concentrated. It’s full of summer-berry flavours and notes of liquorice and vanilla spice. Perfect with Jamón.",£9.99 per bottle,37.5CL,Tempranillo,Graciano,Natural Cork,Spain,5.4,"Black Fruit, Red Fruit, Vanilla",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2019,Rioja
"Martín Códax 'Caixas' Albariño 2020, Rías Baixas","Before Martín Códax, Rías Baixas DO, the homeland of Albariño, didn't exist. The 50 founding families who saw its potential fought for the region to become a Denominación de Origen. It's down to them that Albariño is so popular today. This wine was voted our customers' favourite wine of 2019. So you can expect something great. Expect a bright, peachy white wine with charming notes of white flowers. It’s intensely refreshing with a citrusy zing. Perfect for seafood.",£11.99 per bottle,75CL,Albarino,,Screwcap,Spain,9.4,"Peach, Apricot, Lemon",per bottle,White,ABV 12.50%,Galicia,Fresh & Elegant ,2020,Rías Baixas
Mas Querido Field Blend 2019,"A field blend is a rich tapestry of grape varieties plucked from one spot. So we expected something very special from Más Querido. But even we were blown away by the praise of top wine critics last year. This follow-up vintage is a punchy cocktail of orange peel, lime and passionfruit.",£7.99 per bottle,75CL,Macabeo,Airen,Screwcap,Spain,9.8,"Passionfruit, Lime, Orange",per bottle,White,ABV 13.00%,Castilla-La Mancha,Aromatic & Floral,2019,
"Mayacamas Chardonnay 2015, California","James Suckling called this 2015 vintage ''a wonderful, linear and bright white'' when he gave it 94 points. Decanter gave it the same score. Grown at lofty heights, the Mayacamas Chardonnay bursts with roasted cashews and hazelnuts, waxy lemon and lime zest. The finish is clean and long.",£55.00 per bottle,75CL,Chardonnay,,Natural Cork,USA,10.9,"Vanilla, Blossom, Green Apple, Hazelnut, Peach",per bottle,White,ABV 14.50%,California,Rich & Toasty,2015,Napa Valley
Moët & Chandon Grand Vintage Rosé 2012/15,"This is only made during exceptional years. And 2012 marks Moët & Chandon's 43rd Grand Vintage Rosé. The 2012 vintage was marked excellent. Pinot Meunier, which stands out in notes of blood orange, cherry and grapefruit. Extraordinary on its own or with dessert.",£84.99 per bottle,75CL,Pinot Noir,"Pinot Meunier, Chardonnay",Natural Cork,France,9.4,"Strawberry, Red Cherry, Red Plum",per bottle,Rosé,ABV 12.50%,,Rich & Toasty,2015,
Mon Plaisir du Sud Rosé 2019,One of the most awarded producers in France made this exclusive pink just for Majestic customers. The result...A joyful burst of soft red-berry flavours and moreish crisp acidity the Mon Plaisir is  the perfect accompaniment to sun-dappled patios.,£7.99 per bottle,75CL,Grenache,"Syrah, Cinsault",Screwcap,France,9.4,"Strawberry, Peach, Raspberry",per bottle,Rosé,ABV 12.50%,Other France,Delicate & Dry,2020,Pays D'Oc
"Montes ‘Alpha’ Cabernet 2018, Colchagua Valley","Montes was founded in 1987 by winemaker Aurelio Montes and Douglas Murray. Their vision was to produce Chilean wines of premium quality. They've continued to raise the bar for the country ever since. And the name is now one of the most celebrated in South American wine. This is rich and layered Cabernet, with notes of ripe black fruit, sweet tobacco and spice. Serve at 17-19 degrees with beef ribs or cellar for up to a decade.",£33.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,Chile,10.9,"Black Plum, Blackcurrant, Vanilla",per bottle,Red,ABV 14.50%,Central Valley,Bold & Spicy,2018,Colchagua Valley
"Montes 'Reserva' Malbec 2021/22, Colchagua Valley","In 1987, Aurelio Montes and Douglas Murray had a vision: to create the finest Chilean wine. They have since played a huge part in transforming the country's reputation. And today, Montes is one of the most well-respected winemaking names in South America. This wine is made from some of Chile's oldest Malbec vines. As older vines nourish the tastiest grapes, you can expect something truly special. It's smooth and silky, with flavours of strawberry, cherry, plum jam and vanilla. It has a balanced acidity that works excellently with cheese.",£9.99 per bottle,75CL,Malbec,,Screwcap,Chile,10.9,"Violet, Black Fruit, Chocolate, Red Fruit, Ripe Fruit",per bottle,Red,ABV 14.50%,Central Valley,Soft & Fruity,2022,Colchagua Valley
